COMPLEX ID,Character Area,Z-Area,Street Number,Street Name,Designation,Zoning,Complex Name,Site Area (ha),Site Area (acre),Total Parking,GFA Residential (m2),GFA Residential (ft2),GFA Retail (m2),GFA Retail (ft2),GFA Total (m2),GFA Total (ft2),Building Type,Tenure Residential,Townhouse Blocks,Storeys Total,Number Of Residential Units,Number Of Retail Units,Density (Unit/Ha),Density (Unit/Acre),FSI,OBJECTID
1084,Lisgar NHD,56,612961316133604186652672.000000,Snowy Owl Cres,Low Density II,RM5-12,,0.16,0.395369,,,,0,0,,,Townhouse,Freehold,2,2,6,0,38,15,,331
1085,East Credit NHD,30,4920,Rathkeale Rd,Medium Density,RM4,Rosegate Townhomes,0.62,1.532053,53,2704,29105.613750,0,0,2704,29105.613750,Townhouse,PCC,3,3,23,0,37,15,0.436129,332
1086,Lisgar NHD,56,6017-6043,Castlegrove Crt,Low Density II,RM5-12,,0.2643,0.6531,,1316,14165.306100,0,0,1316,14165.306100,Townhouse,Freehold,3,2,9,0,34,14,0.497919,333
1088,Sheridan NHD,18,2385,Fifth Line West,Medium Density,RM4,Sheridan Woods,0.512,1.26518,46,2587,27846.236230,0,0,2587,27846.236230,Townhouse,PCC,3,2,20,0,39,16,0.505273,334
1089,Lisgar NHD,56,6060,Snowy Owl Cres,Medium Density,RM4,Fanshaw Estates,1.37,3.385344,136,7020,75562.651080,0,0,7020,75562.651080,Townhouse,PCC,9,3,59,0,43,17,0.512409,335
1090,Streetsville NHD,39,2398,Britannia Rd W,Medium Density,RM4,The Woodlands of Erin Mills,2.09,5.164502,164,11736.300000,126328.481700,0,0,11736.300000,126328.481700,Townhouse,PCC,14,3,71,0,34,14,0.561545,336
1091,Clarkson - Lorne Park NHD,9,1084,Queen St W,Medium Density,RM4,Lorne Park Townhomes,1.5045,3.7177,116,8161.680000,87851.592320,0,0,8161.680000,87851.592320,Townhouse,PCC,7,2,50,0,33,13,0.542485,337
1092,Clarkson - Lorne Park NHD,9,1064,Queen St W,Medium Density,RM4,Lorne Park Townhomes,1.4141,3.494317,116,8142.010000,87639.866200,0,0,8142.010000,87639.866200,Townhouse,PCC,8,2,50,0,35,14,0.575773,338
1093,East Credit NHD,38E,1292,Sherwood Mills Blvd,Medium Density,RM4,Brookstone Marathon,2.9,7.166056,,,,0,0,,,Townhouse,PCC,19,2,140,0,48,20,,339
1095,Lakeview NHD,6,813-825/1197-1247,Village Green Blvd/Upper Village Dr,High Density,RM9-2,The West Village,0.7369,1.82092,67,3953,42549.737850,0,0,3953,42549.737850,Townhouse,PCC,5,2,30,0,41,16,0.536436,340
1096,Clarkson - Lorne Park NHD,9,928,Queen St W,Medium Density,RM4,Lorne Park Townhomes,1.9932,4.925304,138,9900.730000,106570.570700,0,0,9900.730000,106570.570700,Townhouse,PCC,10,3,60,0,30,12,0.496725,341
1097,East Credit NHD,37W,5030,Heatherleigh Ave,Medium Density,RM4,Cherrywood,4.5958,11.356469,438,29296.560000,315345.547200,0,0,29296.560000,315345.547200,Townhouse,PCC,18,3,190,0,41,17,0.637464,342
1100,Central Erin Mills NHD,39W,"5658,5662-5674",Glen Erin Dr,Medium Density,RM4,Daniels Grove,3.66,9.044057,435,17070.440000,183744.686800,0,0,17070.440000,183744.686800,Townhouse,PCC,18,2,126,0,34,14,0.466405,343
1101,Hurontario NHD,37E,311-348/5116-5159,Sardinia Dr/Boardwalk Dr,Medium Density,RM5,,1.489,3.679399,,9600,103333.539900,0,0,9600,103333.539900,Townhouse,Freehold,8,2,64,0,43,17,0.644728,344
1102,Meadowvale NHD,55,3114-3118,Pendleton Rd,Medium Density,RM5,,0.364,0.899464,,1893.300000,20379.311580,0,0,1893.300000,20379.311580,Townhouse,Freehold,1,2,3,0,8,3,0.520137,345
1109,East Credit NHD,30,4991,Rathkeale Rd,Medium Density,RM4,Welton Developments Ltd.,0.666,1.645722,86,4749,51117.810540,0,0,4749,51117.810540,Townhouse,PCC,5,3,37,0,56,22,0.713063,346
1110,Hurontario NHD,36E,"504-626, 587-629",Lumberton Cres,Low Density II,RM5-11,,2.0365,5.032301,,11893.740000,128023.151800,0,0,11893.740000,128023.151800,Townhouse,Freehold,11,3,78,0,38,15,0.584028,347
1111,Central Erin Mills NHD,39W,5274-5390,Bushelgrove Cir,Medium Density,RM5,,0.5732,1.416408,66,2739.500000,29487.732570,0,0,2739.500000,29487.732570,Townhouse,Freehold,4,2,22,0,38,16,0.477931,348
1115,East Credit NHD,38E,1285,Bristol Rd W,Medium Density,RM4,Sundial Homes(River Run) Ltd,1.307,3.229667,,5478.230000,58967.176930,0,0,5478.230000,58967.176930,Townhouse,PCC,6,2,45,0,34,14,0.419145,349
1116,Hurontario NHD,37W,706-756,Four Winds Way,Low Density II,RM5,,0.5511,1.361798,,3029.110000,32605.068660,0,0,3029.110000,32605.068660,Townhouse,Freehold,3,2,20,0,36,15,0.549648,350
1121,Clarkson - Lorne Park NHD,3,1010,Cristina Crt,High Density,RM4-24,Cottages of Turtle Creek,0.8302,2.051469,67,3341.800000,35970.835810,0,0,3341.800000,35970.835810,Townhouse,PCC,3,1,21,0,25,10,0.402530,351
1122,Meadowvale Village NHD,53W,71017105,Branigan Gate,Medium Density,RM4,Levi Creek,2.2,5.436318,90,,,0,0,,,Townhouse,PCC,13,3,79,0,36,15,,352
1123,East Credit NHD,30,1588,South Parade Crt,Medium Density,RM4,Bedford Park Phase 1,2.162,5.342418,164,11134,119845.378500,0,0,11134,119845.378500,Townhouse,PCC,13,2,82,0,38,15,0.514986,353
1127,Applewood NHD,20,11641168,Arena Rd,Medium Density,RM4,Applewood on the Park,2.7845,6.880649,,20680,222597.667300,0,0,20680,222597.667300,Townhouse,PCC,9,4,155,0,56,23,0.742683,354
1128,Meadowvale CN,46W,68106830,Meadowvale Town Centre Cir,Medium Density,RM4-13,,1.979,4.890215,183,10923.430000,117578.821900,0,0,10923.430000,117578.821900,Townhouse,PCC,15,3,79,0,40,16,0.551967,355
1133,Meadowvale CN,46W,68606880,Meadowvale Town Centre Cir,Medium Density,RM4,,1.5948,3.940837,148,9478.860000,102029.599800,0,0,9478.860000,102029.599800,Townhouse,PCC,11,3,64,0,40,16,0.594360,356
1134,East Credit NHD,30,1591,South Parade Crt,Medium Density,RM4,Bedford Park Phase II,1.7016,4.204745,126,8395,90363.027890,0,0,8395,90363.027890,Townhouse,PCC,11,2,63,0,37,15,0.493359,357
1135,Central Erin Mills NHD,39W,5530,Glen Erin Dr,Medium Density,RM4,,4.272,10.556342,430,27351.600000,294410.172000,0,0,27351.600000,294410.172000,Townhouse,PCC,24,3,186,0,44,18,0.640253,358
1139,East Credit NHD,30,4950,Rathkeale Rd,Medium Density,RM4,,0.46237,1.142541,63,3497,37641.394700,0,0,3497,37641.394700,Townhouse,PCC,4,3,27,0,58,24,0.756321,359
